0	0	0	-1.49749e-05	-1.00561e-07	-7.41082e-05	
10	0	0	-1.57976e-05	-1.0754e-07	-7.71155e-05	
20	0	0	-1.66775e-05	-1.15109e-07	-8.02871e-05	
30	0	0	-1.76194e-05	-1.23325e-07	-8.36345e-05	
40	0	0	-1.86288e-05	-1.32256e-07	-8.71698e-05	
50	0	0	-1.97113e-05	-1.41973e-07	-9.09065e-05	
60	0	0	-2.08736e-05	-1.52561e-07	-9.48591e-05	
70	0	0	-2.21228e-05	-1.64109e-07	-9.90432e-05	
80	0	0	-2.34667e-05	-1.76723e-07	-0.000103476	
90	0	0	-2.49141e-05	-1.90518e-07	-0.000108176	
100	0	0	-2.64747e-05	-2.05626e-07	-0.000113164	
110	0	0	-2.81593e-05	-2.22194e-07	-0.000118462	
120	0	0	-2.99798e-05	-2.4039e-07	-0.000124094	
130	0	0	-3.19497e-05	-2.60403e-07	-0.000130087	
140	0	0	-3.40838e-05	-2.82448e-07	-0.000136471	
150	0	0	-3.63989e-05	-3.06772e-07	-0.000143277	
160	0	0	-3.89137e-05	-3.33652e-07	-0.00015054	
170	0	0	-4.1649e-05	-3.63408e-07	-0.0001583	
180	0	0	-4.46287e-05	-3.96405e-07	-0.000166599	
190	0	0	-4.78791e-05	-4.33063e-07	-0.000175486	
200	0	0	-5.14304e-05	-4.73863e-07	-0.000185011	
210	0	0	-5.53166e-05	-5.19364e-07	-0.000195234	
220	0	0	-5.95761e-05	-5.70207e-07	-0.000206219	
230	0	0	-6.42528e-05	-6.27139e-07	-0.000218037	
240	0	0	-6.93966e-05	-6.91029e-07	-0.000230769	
250	0	0	-7.50645e-05	-7.62887e-07	-0.000244504	
260	0	0	-8.13217e-05	-8.43898e-07	-0.000259342	
270	0	0	-8.82431e-05	-9.35449e-07	-0.000275394	
280	0	0	-9.59148e-05	-1.03918e-06	-0.000292787	
290	0	0	-0.000104437	-1.15701e-06	-0.000311661	
300	0	0	-0.000113923	-1.29123e-06	-0.000332177	
310	0	0	-0.000124509	-1.44457e-06	-0.000354513	
320	0	0	-0.000136349	-1.62028e-06	-0.000378875	
330	0	0	-0.000149627	-1.82225e-06	-0.000405494	
340	0	0	-0.000164554	-2.05517e-06	-0.000434635	
350	0	0	-0.000181384	-2.32471e-06	-0.000466598	
360	0	0	-0.000200413	-2.63778e-06	-0.000501729	
370	0	0	-0.000221993	-3.00277e-06	-0.000540422	
380	0	0	-0.000246545	-3.43001e-06	-0.000583134	
390	0	0	-0.00027457	-3.93223e-06	-0.000630389	
400	0	0	-0.000306673	-4.5252e-06	-0.000682795	
